circuit,constraints,variables,T,t_setup_s,t_uk_s,t_fresh_s,t_prep_targeted_s,t_prep_full_s,t_update_ms,honest_T_s,batch_targeted_s,batch_full_s,ratio_targeted,ratio_full
sha256,65536,40214,2,0.181,10.669,0.1090,0.0455,14.5779,1.0127,0.2180,0.1556,14.6880,1.400,0.015
sha256,65536,40214,4,0.181,10.669,0.1090,0.0455,14.5779,1.0127,0.4359,0.1577,14.6901,2.764,0.030
sha256,65536,40214,16,0.181,10.669,0.1090,0.0455,14.5779,1.0127,1.7437,0.1699,14.7023,10.260,0.119
sha256,65536,40214,64,0.181,10.669,0.1090,0.0455,14.5779,1.0127,6.9750,0.2191,14.7515,31.829,0.473
sha256,65536,40214,256,0.181,10.669,0.1090,0.0455,14.5779,1.0127,27.8998,0.4127,14.9451,67.598,1.867
sha256,262144,163454,2,0.725,47.784,0.3717,0.1677,63.3974,1.0332,0.7433,0.5408,63.7705,1.375,0.012
sha256,262144,163454,4,0.725,47.784,0.3717,0.1677,63.3974,1.0332,1.4867,0.5429,63.7726,2.738,0.023
sha256,262144,163454,16,0.725,47.784,0.3717,0.1677,63.3974,1.0332,5.9468,0.5553,63.7850,10.709,0.093
sha256,262144,163454,64,0.725,47.784,0.3717,0.1677,63.3974,1.0332,23.7871,0.6051,63.8349,39.309,0.373
sha256,262144,163454,256,0.725,47.784,0.3717,0.1677,63.3974,1.0332,95.1482,0.8028,64.0326,118.515,1.486
sha256,1048576,656414,2,2.452,213.920,1.4138,0.7297,279.8515,1.0066,2.8276,2.1446,281.2664,1.318,0.010
sha256,1048576,656414,4,2.452,213.920,1.4138,0.7297,279.8515,1.0066,5.6553,2.1467,281.2685,2.634,0.020
sha256,1048576,656414,16,2.452,213.920,1.4138,0.7297,279.8515,1.0066,22.6211,2.1590,281.2808,10.478,0.080
sha256,1048576,656414,64,2.452,213.920,1.4138,0.7297,279.8515,1.0066,90.4845,2.2073,281.3291,40.993,0.322
sha256,1048576,656414,256,2.452,213.920,1.4138,0.7297,279.8515,1.0066,361.9382,2.4002,281.5220,150.795,1.286
synthetic,65536,65536,2,0.246,10.724,0.2959,0.0625,15.2625,1.0027,0.5918,0.3594,15.5595,1.646,0.038
synthetic,65536,65536,4,0.246,10.724,0.2959,0.0625,15.2625,1.0027,1.1836,0.3615,15.5615,3.275,0.076
synthetic,65536,65536,16,0.246,10.724,0.2959,0.0625,15.2625,1.0027,4.7344,0.3735,15.5736,12.674,0.304
synthetic,65536,65536,64,0.246,10.724,0.2959,0.0625,15.2625,1.0027,18.9376,0.4215,15.6215,44.934,1.212
synthetic,65536,65536,256,0.246,10.724,0.2959,0.0625,15.2625,1.0027,75.7503,0.6141,15.8141,123.353,4.790
synthetic,262144,262144,2,0.934,52.985,1.0995,0.2713,70.5151,1.0058,2.1990,1.3718,71.6157,1.603,0.031
synthetic,262144,262144,4,0.934,52.985,1.0995,0.2713,70.5151,1.0058,4.3979,1.3740,71.6178,3.201,0.061
synthetic,262144,262144,16,0.934,52.985,1.0995,0.2713,70.5151,1.0058,17.5916,1.3863,71.6302,12.689,0.246
synthetic,262144,262144,64,0.934,52.985,1.0995,0.2713,70.5151,1.0058,70.3665,1.4346,71.6785,49.049,0.982
synthetic,262144,262144,256,0.934,52.985,1.0995,0.2713,70.5151,1.0058,281.4659,1.6272,71.8711,172.973,3.916
synthetic,1048576,1048576,2,3.592,212.619,4.0238,1.0697,296.7588,0.9964,8.0477,5.0950,300.7841,1.580,0.027
synthetic,1048576,1048576,4,3.592,212.619,4.0238,1.0697,296.7588,0.9964,16.0953,5.0970,300.7861,3.158,0.054
synthetic,1048576,1048576,16,3.592,212.619,4.0238,1.0697,296.7588,0.9964,64.3812,5.1094,300.7985,12.601,0.214
synthetic,1048576,1048576,64,3.592,212.619,4.0238,1.0697,296.7588,0.9964,257.5249,5.1578,300.8469,49.929,0.856
synthetic,1048576,1048576,256,3.592,212.619,4.0238,1.0697,296.7588,0.9964,1030.0995,5.3476,301.0368,192.627,3.422
