circuit,constraints,variables,threads,rep,t_total_s,r1cs_eval_s,quotient_fft_s,scalar_conv_s,msm_quotient_s,msm_c_witness_s,msm_a_s,msm_b_g1_s,msm_b_g2_s,other_s,msm_s,msm_share
sha256,65536,40214,14,1,0.10575,0.00082,0.02678,0.00018,0.05421,0.00584,0.00637,0.00326,0.00716,0.00108,0.07684,0.7267
sha256,65536,40214,14,2,0.10169,0.00089,0.02445,0.00018,0.05314,0.00573,0.00629,0.00316,0.00691,0.00090,0.07523,0.7398
sha256,65536,40214,14,3,0.10561,0.00091,0.02667,0.00022,0.05470,0.00605,0.00627,0.00306,0.00684,0.00086,0.07692,0.7283
sha256,65536,40214,1,1,0.54392,0.00238,0.08182,0.00031,0.41139,0.00880,0.02073,0.00628,0.01132,0.00085,0.45854,0.8430
sha256,65536,40214,1,2,0.54621,0.00241,0.08167,0.00031,0.41364,0.00904,0.02081,0.00617,0.01126,0.00087,0.46092,0.8438
sha256,65536,40214,1,3,0.54518,0.00244,0.08133,0.00032,0.41347,0.00886,0.02044,0.00614,0.01131,0.00084,0.46022,0.8442
sha256,262144,163454,14,1,0.35068,0.00219,0.07606,0.00033,0.18630,0.02268,0.02381,0.01118,0.02703,0.00108,0.27099,0.7727
sha256,262144,163454,14,2,0.36315,0.00235,0.07831,0.00031,0.19686,0.02275,0.02329,0.01097,0.02721,0.00108,0.28107,0.7740
sha256,262144,163454,14,3,0.36345,0.00242,0.07146,0.00026,0.20357,0.02300,0.02346,0.01108,0.02708,0.00109,0.28818,0.7929
sha256,262144,163454,1,1,2.08977,0.00978,0.36978,0.00127,1.52517,0.03961,0.06599,0.02798,0.04834,0.00181,1.70711,0.8169
sha256,262144,163454,1,2,2.11721,0.00993,0.37080,0.00125,1.54969,0.03998,0.06659,0.02903,0.04811,0.00179,1.73340,0.8187
sha256,262144,163454,1,3,2.09364,0.00991,0.37026,0.00124,1.53058,0.03914,0.06429,0.02907,0.04733,0.00178,1.71042,0.8170
synthetic,65536,65536,14,1,0.27772,0.00092,0.02755,0.00022,0.05337,0.05319,0.02782,0.03014,0.08361,0.00086,0.24813,0.8935
synthetic,65536,65536,14,2,0.27454,0.00091,0.02462,0.00011,0.05417,0.05318,0.02912,0.02771,0.08362,0.00108,0.24780,0.9026
synthetic,65536,65536,14,3,0.27009,0.00084,0.02652,0.00026,0.05393,0.05153,0.02771,0.02763,0.08059,0.00105,0.24138,0.8937
synthetic,65536,65536,1,1,2.10184,0.00282,0.08476,0.00032,0.42557,0.42018,0.23649,0.23626,0.69429,0.00112,2.01279,0.9576
synthetic,65536,65536,1,2,2.10298,0.00278,0.08366,0.00031,0.42060,0.42276,0.23906,0.23625,0.69638,0.00115,2.01505,0.9582
synthetic,65536,65536,1,3,2.11571,0.00271,0.08316,0.00031,0.42268,0.42333,0.24053,0.23701,0.70480,0.00113,2.02836,0.9587
synthetic,262144,262144,14,1,1.00575,0.00220,0.07253,0.00030,0.20169,0.20391,0.10881,0.10165,0.31347,0.00116,0.92952,0.9242
synthetic,262144,262144,14,2,0.99230,0.00203,0.07296,0.00030,0.19904,0.20283,0.10760,0.10220,0.30400,0.00131,0.91566,0.9228
synthetic,262144,262144,14,3,1.00222,0.00205,0.07378,0.00040,0.20201,0.19895,0.10799,0.10835,0.30756,0.00110,0.92486,0.9228
synthetic,262144,262144,1,1,7.70044,0.01218,0.37973,0.00127,1.56188,1.56880,0.85736,0.85878,2.45840,0.00200,7.30522,0.9487
synthetic,262144,262144,1,2,7.68731,0.01076,0.38193,0.00127,1.55714,1.55891,0.85745,0.85676,2.46105,0.00201,7.29130,0.9485
synthetic,262144,262144,1,3,7.69182,0.01137,0.38095,0.00127,1.56673,1.56377,0.85544,0.85507,2.45512,0.00207,7.29612,0.9486
