l,d,k,dsize,T,t_single_s,t_skip_s,t_tail_s,t_batch_s,marginal_s,shareable_frac,t_verify_s,all_verified
16,2,1,3,1,0.00312,0.00090,0.00221,0.00287,0.00221,0.2922,0.00061,true
16,2,1,3,2,0.00312,0.00090,0.00221,0.00480,0.00192,0.3842,0.00061,true
16,2,1,3,4,0.00312,0.00090,0.00221,0.00851,0.00188,0.3984,0.00061,true
16,2,1,3,8,0.00312,0.00090,0.00221,0.01571,0.00183,0.4124,0.00061,true
16,2,1,3,16,0.00312,0.00090,0.00221,0.02822,0.00169,0.4585,0.00061,true
16,2,2,7,1,0.00125,0.00052,0.00072,0.00122,0.00072,0.4230,0.00039,true
16,2,2,7,2,0.00125,0.00052,0.00072,0.00194,0.00071,0.4294,0.00039,true
16,2,2,7,4,0.00125,0.00052,0.00072,0.00346,0.00075,0.4046,0.00039,true
16,2,2,7,8,0.00125,0.00052,0.00072,0.00646,0.00075,0.4031,0.00039,true
16,2,2,7,16,0.00125,0.00052,0.00072,0.01238,0.00074,0.4061,0.00039,true
16,2,3,15,1,0.00138,0.00093,0.00042,0.00136,0.00042,0.6951,0.00029,true
16,2,3,15,2,0.00138,0.00093,0.00042,0.00179,0.00043,0.6854,0.00029,true
16,2,3,15,4,0.00138,0.00093,0.00042,0.00271,0.00045,0.6733,0.00029,true
16,2,3,15,8,0.00138,0.00093,0.00042,0.00454,0.00045,0.6700,0.00029,true
16,2,3,15,16,0.00138,0.00093,0.00042,0.00799,0.00044,0.6785,0.00029,true
16,2,4,31,1,0.00189,0.00158,0.00031,0.00186,0.00031,0.8371,0.00024,true
16,2,4,31,2,0.00189,0.00158,0.00031,0.00217,0.00031,0.8381,0.00024,true
16,2,4,31,4,0.00189,0.00158,0.00031,0.00276,0.00030,0.8417,0.00024,true
16,2,4,31,8,0.00189,0.00158,0.00031,0.00394,0.00030,0.8430,0.00024,true
16,2,4,31,16,0.00189,0.00158,0.00031,0.00635,0.00030,0.8415,0.00024,true
16,2,5,63,1,0.00318,0.00296,0.00022,0.00319,0.00022,0.9299,0.00023,true
16,2,5,63,2,0.00318,0.00296,0.00022,0.00341,0.00022,0.9292,0.00023,true
16,2,5,63,4,0.00318,0.00296,0.00022,0.00387,0.00023,0.9279,0.00023,true
16,2,5,63,8,0.00318,0.00296,0.00022,0.00480,0.00023,0.9274,0.00023,true
16,2,5,63,16,0.00318,0.00296,0.00022,0.00665,0.00023,0.9274,0.00023,true
16,3,1,4,1,0.00332,0.00082,0.00248,0.00324,0.00248,0.2516,0.00077,true
16,3,1,4,2,0.00332,0.00082,0.00248,0.00588,0.00264,0.2027,0.00077,true
16,3,1,4,4,0.00332,0.00082,0.00248,0.01112,0.00263,0.2073,0.00077,true
16,3,1,4,8,0.00332,0.00082,0.00248,0.02138,0.00259,0.2183,0.00077,true
16,3,1,4,16,0.00332,0.00082,0.00248,0.04140,0.00254,0.2326,0.00077,true
16,3,2,10,1,0.00255,0.00115,0.00140,0.00251,0.00140,0.4510,0.00053,true
16,3,2,10,2,0.00255,0.00115,0.00140,0.00390,0.00140,0.4525,0.00053,true
16,3,2,10,4,0.00255,0.00115,0.00140,0.00679,0.00143,0.4407,0.00053,true
16,3,2,10,8,0.00255,0.00115,0.00140,0.01236,0.00141,0.4483,0.00053,true
16,3,2,10,16,0.00255,0.00115,0.00140,0.02347,0.00140,0.4523,0.00053,true
16,3,3,22,1,0.00319,0.00236,0.00079,0.00317,0.00079,0.7510,0.00040,true
16,3,3,22,2,0.00319,0.00236,0.00079,0.00402,0.00085,0.7325,0.00040,true
16,3,3,22,4,0.00319,0.00236,0.00079,0.00571,0.00085,0.7341,0.00040,true
16,3,3,22,8,0.00319,0.00236,0.00079,0.00900,0.00083,0.7385,0.00040,true
16,3,3,22,16,0.00319,0.00236,0.00079,0.01528,0.00081,0.7468,0.00040,true
16,3,4,46,1,0.00502,0.00446,0.00053,0.00498,0.00053,0.8934,0.00034,true
16,3,4,46,2,0.00502,0.00446,0.00053,0.00554,0.00056,0.8889,0.00034,true
16,3,4,46,4,0.00502,0.00446,0.00053,0.00663,0.00055,0.8904,0.00034,true
16,3,4,46,8,0.00502,0.00446,0.00053,0.00879,0.00054,0.8916,0.00034,true
16,3,4,46,16,0.00502,0.00446,0.00053,0.01304,0.00054,0.8929,0.00034,true
16,3,5,94,1,0.00906,0.00869,0.00041,0.00905,0.00041,0.9552,0.00035,true
16,3,5,94,2,0.00906,0.00869,0.00041,0.00943,0.00038,0.9585,0.00035,true
16,3,5,94,4,0.00906,0.00869,0.00041,0.01019,0.00038,0.9582,0.00035,true
16,3,5,94,8,0.00906,0.00869,0.00041,0.01167,0.00037,0.9586,0.00035,true
16,3,5,94,16,0.00906,0.00869,0.00041,0.01465,0.00037,0.9587,0.00035,true
20,2,1,3,1,0.02842,0.00834,0.01999,0.02849,0.01999,0.2965,0.00966,true
