config,rate_bits,arity_bits,pow_bits,queries,threads,rep,wall_s,cpu_user_s,cpu_sys_s,hash_cpu_s,hash_calls,hash_bytes,leaf_calls,leaf_ns,leaf_bytes,node_calls,node_ns,node_bytes,perm_calls,perm_ns,perm_bytes,phase_traces_s,phase_trace_commit_s,phase_trace_commit_hash_ns,phase_ctl_s,phase_proofs_s,phase_proofs_hash_ns,proof_bytes,hash_share_cpu
1:4:16,1,4,16,84,1,1,12.339,12.27,0.21,2.605,6311244,940180096,2842784,1619922254,698286080,2846192,533398725,182156288,622268,451956554,59737728,0.2442,2.3776,1007736243,0.6020,8.3399,1597540082,4081640,0.2087
1:4:16,1,4,16,84,1,2,12.430,12.36,0.21,2.623,6311244,940180096,2842784,1636056384,698286080,2846192,533268748,182156288,622268,453383280,59737728,0.2433,2.3921,1013807894,0.6002,8.3872,1608899393,4081640,0.2087
1:4:16,1,4,16,84,1,3,12.426,12.33,0.22,2.604,6311244,940180096,2842784,1614738526,698286080,2846192,533566033,182156288,622268,455326573,59737728,0.2492,2.4023,1010729173,0.6078,8.3562,1592900876,4081640,0.2075
1:4:16,1,4,16,84,14,1,3.548,15.29,0.88,3.730,6551884,963281536,2842784,2222734755,698286080,2846192,687193868,182156288,862908,820003682,82839168,0.1627,0.3517,1482289504,0.6084,1.6160,2247634051,4081640,0.2307
1:4:16,1,4,16,84,14,2,3.439,15.29,0.85,3.581,6368588,945685120,2842784,2241383762,698286080,2846192,683945491,182156288,679612,655348008,65242752,0.1565,0.2778,1474825278,0.5983,1.6275,2105850775,4081640,0.2219
1:4:16,1,4,16,84,14,3,3.473,14.94,0.87,3.227,6073164,917324416,2842784,2184723477,698286080,2846192,682301350,182156288,384188,360324020,36882048,0.1699,0.2869,1435019871,0.5992,1.6237,1792324767,4081640,0.2041
1:1:16,1,1,16,84,1,1,12.730,12.64,0.24,2.781,7724248,978872064,3708672,1857817224,712138752,3711312,698235734,237523968,304264,224659767,29209344,0.2470,2.4100,1023574262,0.6151,8.6731,1757137047,4609976,0.2159
1:1:16,1,1,16,84,1,2,12.852,12.76,0.25,2.780,7724248,978872064,3708672,1855889574,712138752,3711312,700965662,237523968,304264,223408566,29209344,0.2597,2.4376,1028454958,0.6163,8.7337,1751807802,4609976,0.2137
1:1:16,1,1,16,84,1,3,12.789,12.68,0.27,2.818,7724248,978872064,3708672,1889707294,712138752,3711312,700750298,237523968,304264,227043974,29209344,0.2591,2.4445,1044540014,0.6085,8.6704,1772960469,4609976,0.2176
1:1:16,1,1,16,84,14,1,3.635,15.57,1.00,3.646,7650520,971820928,3708388,2498240610,712129664,3711044,915101602,237506816,231088,233002955,22184448,0.1633,0.2859,1445324797,0.6111,1.7351,2201019286,4609976,0.2200
1:1:16,1,1,16,84,14,2,3.638,15.62,1.08,3.623,7622360,969090816,3708672,2520945825,712138752,3711312,907640021,237523968,202376,194146155,19428096,0.1642,0.3025,1464242415,0.6138,1.7148,2158488545,4609976,0.2169
1:1:16,1,1,16,84,14,3,3.646,15.89,1.02,4.083,7860440,991946496,3708672,2668113919,712138752,3711312,979872949,237523968,440456,435404807,42283776,0.1645,0.2840,1487292331,0.6205,1.7472,2596098094,4609976,0.2415
2:1:16,2,1,16,42,1,1,17.461,17.29,0.44,5.312,15107760,1924986880,7417344,3718221208,1424277504,7424080,1397079437,475141120,266336,197052158,25568256,0.2629,4.4578,2018169263,0.6100,11.3023,3294182373,2487464,0.2996
2:1:16,2,1,16,42,1,2,17.432,17.24,0.43,5.326,15107760,1924986880,7417344,3722195014,1424277504,7424080,1406474148,475141120,266336,196880239,25568256,0.2601,4.4502,2007717153,0.6091,11.2721,3317830998,2487464,0.3014
2:1:16,2,1,16,42,1,3,17.392,17.22,0.42,5.285,15107760,1924986880,7417344,3701259780,1424277504,7424080,1388257759,475141120,266336,195943248,25568256,0.2643,4.4454,2010781570,0.6064,11.2386,3274677967,2487464,0.2996
2:1:16,2,1,16,42,14,1,4.391,21.61,1.51,7.334,15443632,1957230592,7417344,4947946631,1424277504,7424080,1822607320,475141120,602208,563015112,57811968,0.1657,0.5243,2871076974,0.6038,2.2756,4462488506,2487464,0.3172
2:1:16,2,1,16,42,14,2,4.371,21.32,1.54,7.245,15339184,1947203584,7417344,4956425477,1424277504,7424080,1832503057,475141120,497760,455884939,47784960,0.1628,0.5407,2870695518,0.6066,2.2275,4374116789,2487464,0.3169
2:1:16,2,1,16,42,14,3,4.420,21.83,1.49,7.636,15678128,1979742208,7417344,5001833683,1424277504,7424080,1834925545,475141120,836704,799356024,80323584,0.1635,0.5116,2866501865,0.6208,2.2970,4769612262,2487464,0.3274
3:1:16,3,1,16,28,1,1,27.680,26.79,1.24,10.699,30260896,3854283264,14834688,7499361975,2848555008,14849616,2772196443,950375424,576592,427595895,55352832,0.2635,8.6881,4052942427,0.6098,17.2875,6646210386,1779960,0.3817
3:1:16,3,1,16,28,1,2,27.178,26.81,0.85,10.735,30260896,3854283264,14834688,7519677850,2848555008,14849616,2788560225,950375424,576592,426855773,55352832,0.2612,8.6672,4065638303,0.6084,16.7907,6669454336,1779960,0.3881
3:1:16,3,1,16,28,1,3,27.070,26.73,0.79,10.626,30260896,3854283264,14834688,7431175065,2848555008,14849616,2767244655,950375424,576592,427988695,55352832,0.2712,8.6841,4058868060,0.6202,16.6429,6567539147,1779960,0.3861
3:1:16,3,1,16,28,14,1,5.654,31.99,2.31,13.641,30032032,3832312320,14834688,9741916936,2848555008,14849616,3577499895,950375424,347728,322024534,33381888,0.1645,0.9894,5532184082,0.6056,3.1056,8109256158,1779960,0.3977
3:1:16,3,1,16,28,14,2,5.798,31.92,2.18,13.972,30241952,3852476288,14834570,9834195672,2848551232,14849488,3628370753,950367232,557894,509345756,53557824,0.1617,0.9749,5584334962,0.6047,3.2720,8387576178,1779960,0.4097
3:1:16,3,1,16,28,14,3,5.665,32.09,2.32,13.565,30131872,3841896960,14834688,9620287001,2848555008,14849616,3545147466,950375424,447568,399797624,42966528,0.1634,0.9554,5359711076,0.6067,3.1624,8205519932,1779960,0.3942
4:1:16,4,1,16,21,1,1,46.015,44.27,2.22,20.719,59923096,7651045120,29669376,14849208237,5697110016,29700688,5462758681,1900844032,553032,407149274,53091072,0.2473,17.0653,8027325120,0.6372,27.2825,12691789947,1426208,0.4457
4:1:16,4,1,16,21,1,2,46.109,44.57,2.33,20.933,59923096,7651045120,29669376,15017593243,5697110016,29700688,5507526893,1900844032,553032,407489826,53091072,0.2333,16.5434,8027610245,0.6297,27.9260,12904998551,1426208,0.4463
4:1:16,4,1,16,21,1,3,46.975,44.95,2.77,21.049,59923096,7651045120,29669376,15131230300,5697110016,29700688,5513672715,1900844032,553032,404053989,53091072,0.2568,16.7206,8125175046,0.6022,28.5799,12923780750,1426208,0.4411
4:1:16,4,1,16,21,14,1,10.705,57.16,6.63,30.178,59845784,7643623168,29669376,22108586139,5697110016,29700688,7621326456,1900844032,475720,448521986,45669120,0.1604,2.0103,11288763263,0.6040,7.1008,18889668026,1426208,0.4731
4:1:16,4,1,16,21,14,2,9.827,56.71,4.84,28.652,59683992,7628091136,29669376,20812383870,5697110016,29700688,7533540992,1900844032,313928,306565383,30137088,0.1632,1.9914,11116793624,0.6142,6.2207,17535695413,1426208,0.4655
4:1:16,4,1,16,21,14,3,10.168,56.75,5.50,30.297,59618968,7621885792,29668996,22508678899,5697097856,29700293,7552589218,1900818752,249679,235520540,23969184,0.1670,2.0206,11082308273,0.6058,6.5335,19214479092,1426208,0.4867
