config,rate_bits,arity_bits,pow_bits,queries,threads,rep,wall_s,cpu_user_s,cpu_sys_s,hash_cpu_s,hash_calls,hash_bytes,leaf_calls,leaf_ns,leaf_bytes,node_calls,node_ns,node_bytes,perm_calls,perm_ns,perm_bytes,phase_traces_s,phase_trace_commit_s,phase_trace_commit_hash_ns,phase_ctl_s,phase_proofs_s,phase_proofs_hash_ns,proof_bytes,hash_share_cpu,timer_overhead_ns,tag_mode
1:4:16,1,4,16,84,1,1,12.429,12.37,0.30,2.588,6311244,940180096,2842784,1590126406,698286080,2846192,559301596,182156288,622268,438628753,59737728,0.2663,2.4004,1000055101,0.6038,8.3704,1588000695,4081640,0.2043,39.9,untagged
1:4:16,1,4,16,84,1,2,12.453,12.39,0.27,2.603,6311244,940180096,2842784,1604189173,698286080,2846192,560728476,182156288,622268,437988937,59737728,0.2588,2.3813,994080488,0.6096,8.4255,1608825181,4081640,0.2056,36.2,untagged
1:4:16,1,4,16,84,1,3,12.377,12.30,0.30,2.604,6311244,940180096,2842784,1594689829,698286080,2846192,559025553,182156288,622268,450546025,59737728,0.2579,2.3732,993692493,0.6078,8.3517,1610566998,4081640,0.2067,36.2,untagged
1:4:16,1,4,16,84,14,1,3.571,15.39,1.07,3.627,6230348,932403488,2842702,2351336302,698265088,2846113,765925429,182151232,541533,509626597,51987168,0.1672,0.2966,1516811249,0.6075,1.6974,2110075996,4081640,0.2204,36.6,untagged
1:4:16,1,4,16,84,14,2,4.189,15.09,1.35,4.341,5986636,908921408,2842012,2891609783,698088448,2845342,942280721,182101888,299282,507312646,28731072,0.1925,0.3345,1617391576,0.6282,2.1702,2723810449,4081640,0.2641,36.6,untagged
1:4:16,1,4,16,84,14,3,3.818,15.50,1.15,4.089,6196556,929170048,2842784,2592557720,698286080,2846192,915549475,182156288,507580,580794502,48727680,0.1691,0.3069,1632272796,0.6247,1.8570,2456627818,4081640,0.2456,36.9,untagged
3:1:20,3,1,20,27,1,1,30.501,28.83,1.86,12.716,32762528,4094439936,14834688,7653832997,2848555008,14849616,2891395544,950375424,3078224,2170681268,295509504,0.2740,8.9475,4186813673,0.6420,19.7588,8529094845,1722674,0.4143,36.8,untagged
3:1:20,3,1,20,27,1,2,29.238,28.41,1.26,12.481,32762528,4094439936,14834688,7443256780,2848555008,14849616,2867327431,950375424,3078224,2170171633,295509504,0.2475,8.5041,4013835440,0.6073,19.0886,8466919321,1722674,0.4207,36.4,untagged
3:1:20,3,1,20,27,1,3,29.124,28.32,1.18,12.728,32762528,4094439936,14834688,7691981113,2848555008,14849616,2865918866,950375424,3078224,2170055168,295509504,0.2543,8.8423,4298882251,0.6218,18.6204,8429071563,1722674,0.4315,36.8,untagged
3:1:20,3,1,20,27,14,1,7.456,42.77,3.93,26.948,42717856,5050151424,14834688,11009233932,2848555008,14849616,3825979602,950375424,13033552,12112449369,1251220992,0.1580,1.0272,5571959730,0.6034,4.8769,21375699382,1722674,0.5770,36.5,untagged
3:1:20,3,1,20,27,14,2,6.136,34.77,2.46,17.173,33408160,4156420608,14834688,10034823449,2848555008,14849616,3764583551,950375424,3723856,3373567117,357490176,0.1605,0.9802,5472449095,0.6040,3.5965,11700523938,1722674,0.4613,37.0,untagged
3:1:20,3,1,20,27,14,3,6.636,37.82,2.89,20.422,36574368,4460376576,14834688,10242435383,2848555008,14849616,3795109549,950375424,6890064,6384418928,661446144,0.1849,0.9839,5618831055,0.5999,4.0791,14803131721,1722674,0.5016,36.7,untagged
1:4:16,1,4,16,84,1,1,12.362,12.31,0.26,2.493,6150988,924795520,2842784,1604362405,698286080,2846192,559055100,182156288,462012,329733519,44353152,0.2745,2.4053,999205387,0.5997,8.2767,1493944553,4081640,0.1983,37.7,tagged
