config,rate_bits,arity_bits,pow_bits,queries,threads,rep,wall_s,cpu_user_s,cpu_sys_s,hash_cpu_s,hash_calls,hash_bytes,leaf_calls,leaf_ns,leaf_bytes,node_calls,node_ns,node_bytes,perm_calls,perm_ns,perm_bytes,phase_traces_s,phase_trace_commit_s,phase_trace_commit_hash_ns,phase_ctl_s,phase_proofs_s,phase_proofs_hash_ns,proof_bytes,hash_share_cpu,timer_overhead_ns,tag_mode
1:4:0,1,4,0,100,1,1,11.610,11.50,0.33,2.090,5691740,880696608,2842701,1556117281,698264832,2846124,531970874,182151936,2915,2252259,279840,0.2860,2.3324,969474185,0.5751,7.6348,1120865271,4829384,0.1767,35.0,untagged
1:4:0,1,4,0,100,1,2,11.617,11.57,0.27,2.101,5691740,880696608,2842701,1563156201,698264832,2846124,535935833,182151936,2915,2255026,279840,0.2422,2.3074,971451078,0.5753,7.7292,1129894857,4829384,0.1774,34.0,untagged
1:4:0,1,4,0,100,1,3,12.165,11.78,0.43,2.163,5691740,880696608,2842701,1609998702,698264832,2846124,550667843,182151936,2915,2216629,279840,0.2514,2.3076,973668695,0.5743,8.2760,1189213521,4829384,0.1771,34.2,untagged
1:4:0,1,4,0,100,1,4,11.855,11.78,0.29,2.137,5691740,880696608,2842701,1587216657,698264832,2846124,547825188,182151936,2915,2349392,279840,0.2453,2.3269,982507816,0.5918,7.9135,1154882421,4829384,0.1771,35.2,untagged
1:4:0,1,4,0,100,1,5,11.674,11.68,0.23,2.116,5691740,880696608,2842701,1565672760,698264832,2846124,547913020,182151936,2915,2205527,279840,0.2521,2.3325,977935060,0.5864,7.7439,1137855122,4829384,0.1777,35.0,untagged
3:1:0,3,1,0,34,1,1,27.261,25.91,1.58,10.386,29687464,3799237984,14834644,7569878531,2848553600,14849573,2813195309,950372672,3247,2603508,311712,0.2519,8.8886,4193163918,0.6096,16.7429,6192512263,2123676,0.3778,37.5,untagged
3:1:0,3,1,0,34,1,2,26.419,25.84,1.03,10.300,29687464,3799237984,14834644,7479492566,2848553600,14849573,2817745957,950372672,3247,2509442,311712,0.2403,8.6028,4148580255,0.5971,16.2109,6151166627,2123676,0.3833,35.5,untagged
3:1:0,3,1,0,34,1,3,27.500,26.06,1.61,10.374,29687464,3799237984,14834644,7533424693,2848553600,14849573,2838187273,950372672,3247,2648921,311712,0.2372,8.8546,4095467952,0.6501,16.9908,6278791602,2123676,0.3749,35.4,untagged
3:1:0,3,1,0,34,1,4,27.445,26.10,1.53,10.339,29687464,3799237984,14834644,7484586810,2848553600,14849573,2851968081,950372672,3247,2655454,311712,0.2390,8.7997,4087761786,0.6385,16.9977,6251447143,2123676,0.3742,35.6,untagged
3:1:0,3,1,0,34,1,5,26.600,26.06,1.05,10.275,29687464,3799237984,14834644,7429974605,2848553600,14849573,2842728507,950372672,3247,2531934,311712,0.2542,8.6057,4048520379,0.6083,16.3289,6226713584,2123676,0.3790,36.7,untagged
1:4:0,1,4,0,100,1,1,11.931,11.94,0.21,2.151,5691740,880696608,2842701,1596811450,698264832,2846124,551975675,182151936,2915,2339670,279840,0.2438,2.3517,985681553,0.5896,7.9533,1165444242,4829384,0.1770,36.6,tagged
1:4:0,1,4,0,100,1,2,11.847,11.86,0.22,2.149,5691740,880696608,2842701,1593760120,698264832,2846124,553284523,182151936,2915,2166988,279840,0.2441,2.3610,986486135,0.5937,7.8698,1162724621,4829384,0.1779,35.9,tagged
1:4:0,1,4,0,100,1,3,11.826,11.82,0.23,2.150,5691740,880696608,2842701,1595124452,698264832,2846124,552606256,182151936,2915,2296368,279840,0.2440,2.3784,996191044,0.5931,7.8230,1153834865,4829384,0.1784,35.8,tagged
1:4:0,1,4,0,100,1,4,11.877,11.88,0.22,2.156,5691740,880696608,2842701,1601442438,698264832,2846124,552861627,182151936,2915,2180588,279840,0.2464,2.3472,988481984,0.5942,7.8966,1168001752,4829384,0.1782,35.7,tagged
1:4:0,1,4,0,100,1,5,11.977,11.98,0.23,2.162,5691740,880696608,2842701,1603976294,698264832,2846124,555481704,182151936,2915,2165866,279840,0.2443,2.3681,993634766,0.6000,7.9729,1167988140,4829384,0.1771,36.3,tagged
3:1:0,3,1,0,34,1,1,26.879,26.07,1.15,10.262,29687464,3799237984,14834644,7419829276,2848553600,14849573,2839841192,950372672,3247,2524331,311712,0.2476,8.7160,4004176866,0.6189,16.5037,6258016808,2123676,0.3770,36.1,tagged
3:1:0,3,1,0,34,1,2,27.610,26.29,1.58,10.418,29687464,3799237984,14834644,7550569329,2848553600,14849573,2864919593,950372672,3247,2540576,311712,0.2401,8.8670,4091312269,0.6169,17.1035,6326715854,2123676,0.3738,36.2,tagged
3:1:0,3,1,0,34,1,3,28.031,26.56,1.69,10.496,29687464,3799237984,14834644,7614447033,2848553600,14849573,2878687164,950372672,3247,2799143,311712,0.2424,8.6025,4064656199,0.6021,17.7531,6431275891,2123676,0.3715,36.4,tagged
3:1:0,3,1,0,34,1,4,26.893,26.23,1.12,10.225,29687464,3799237984,14834644,7381076890,2848553600,14849573,2840867186,950372672,3247,2783864,311712,0.2517,8.5370,3983103307,0.6152,16.6843,6241623508,2123676,0.3739,36.8,tagged
3:1:0,3,1,0,34,1,5,26.818,26.13,1.14,10.239,29687464,3799237984,14834644,7405470715,2848553600,14849573,2830483539,950372672,3247,2585136,311712,0.2523,8.5490,4000971469,0.6142,16.5670,6237566921,2123676,0.3755,36.9,tagged
